ticker,premarket_price,premarket_volume,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,norm_gap,norm_rvol,norm_pre_rvol,norm_breakout,norm_volatility,norm_trend,premarket_momentum,score
AAL,,0,,0.23950602216068942,0.0,70390914,3,,0.41777780320909286,,,0.14796435200985975,0.0,,,0.6,,
AAPL,,0,,0.23629314718802127,0.0,46258527,3,,6.942223442925347,,,0.14488730924295198,0.0,,,0.6,,
ABBV,,0,,0.1906301409471544,0.0,4122538,2,,4.806659274631077,,,0.10115481910125193,0.0,,,0.4,,
ABNB,,0,,0.7320463678713955,0.0,3892790,2,,3.848332722981771,,,0.6196813410219714,0.0,,,0.4,,
ADBE,,0,,0.21229387918114342,0.0,6222642,2,,7.682220458984375,,,0.12190266942351993,0.0,,,0.4,,
ADI,,0,,0.25541052372567336,0.0,3387777,4,,10.084442138671875,,,0.16319645158364612,0.0,,,0.8,,
AEE,,0,,0.13198525419953827,0.0,1526102,2,,1.4733352661132812,,,0.04498928943763711,0.0,,,0.4,,
AEP,,0,,0.2195819590029436,0.0,4034479,3,,1.8999998304578993,,,0.12888262771355363,0.0,,,0.6,,
AFRM,,0,,0.7482888458111249,0.0,3987878,1,,3.1455569797092013,,,0.6352371281865116,0.0,,,0.2,,
ALGN,,0,,0.1371936314569324,0.0,864216,1,,3.772221883138021,,,0.049977469713411236,0.0,,,0.2,,
ALK,,0,,0.457719599732037,0.0,2428842,3,,1.2155549791124132,,,0.3569524129269565,0.0,,,0.6,,
ALL,,0,,0.4780205368123221,0.0,1860464,0,,5.041110568576389,,,0.37639507787213655,0.0,,,0.0,,
AMAT,,0,,0.23934310016597513,0.0,6455364,3,,14.847774929470486,,,0.14780831794389998,0.0,,,0.6,,
AMD,,0,,0.32441915276012323,0.0,23385903,4,,20.63332790798611,,,0.22928757079340978,0.0,,,0.8,,
AMGN,,0,,0.23424897770716047,0.0,3174041,4,,7.954440646701389,,,0.14292956206357985,0.0,,,0.8,,
AMT,,0,,0.17910555200884706,0.0,2358838,1,,3.4411112467447915,,,0.0901174605560625,0.0,,,0.2,,
AMZN,,0,,0.4824554765845308,0.0,33104547,3,,4.5788828531901045,,,0.3806425196381053,0.0,,,0.6,,
ANET,,0,,0.21796394157273208,0.0,5015315,3,,6.113444010416667,,,0.12733301595688185,0.0,,,0.6,,
APD,,0,,0.16247105082556482,0.0,1208972,0,,5.45111083984375,,,0.07418622389650746,0.0,,,0.0,,
ASML,,0,,0.400017542224683,0.0,1368127,4,,37.89222547743056,,,0.30168985207440885,0.0,,,0.8,,
AVGO,,0,,0.29839628178234895,0.0,25418436,4,,8.155047379066458,,,0.20436488080468684,0.0,,,0.8,,
